Item,Marine,Quantity
2 Grenade Pouches,2,6
2 Grenade Pouches,6,1
3 Magazine Pouches,2,8
3 Magazine Pouches,11,15
Batteries PRC-152,1,1
Binoculars,6,1
Camelback,2,0
Camelback,3,1
Camelback,4,0
Camelback,8,1
Camelback,9,0
Cammie Paint,1,1
Canteen Cup,11,4
Covered Canteens,5,8
Dog Tags,5,4
Dump Pouch,5,1
Dump Pouch,12,2
E-tool with Carrier,4,1
E-tool with Carrier,10,2
Eye Protection,12,4
First Aid Kit,1,2
First Aid Kit,7,1
First Aid Kit,9,0
First Aid Kit,12,1
ID Card,11,4
Individual Purifier,12,4
Map Pens,9,4
MREs,6,8
Note Taking Gear,6,4
NVG PVS 14,4,4
Protractor,8,4
Pyro Set,7,2
