Item,Marine,Quantity
2 Grenade Pouches,2,4
3 Magazine Pouches,2,9
3 Magazine Pouches,8,3
Camelback,6,2
Canteen Cup,6,2
Covered Canteens,3,1
Covered Canteens,8,3
Dog Tags,2,2
Dump Pouch,3,2
E-tool with Carrier,2,1
E-tool with Carrier,5,1
Eye Protection,4,2
First Aid Kit,1,3
First Aid Kit,4,1
ID Card,4,2
Individual Purifier,5,2
Map Pens,7,2
MREs,2,4
Note Taking Gear,7,2
NVG PVS 14,7,2
Protractor,6,2
Pyro Set,4,1
Rifle with Sling,3,1
Rifle with Sling,7,1
Sleeping Bag,5,1
Sleeping Bag,8,1
