Item,Marine,Quantity
2 Grenade Pouches,2,5
2 Grenade Pouches,4,2
Batteries PRC-152,2,1
Binoculars,4,1
Boonie Cover,1,1
Boonie Cover,2,1
Boonie Cover,3,1
Boonie Cover,4,1
Boots,1,1
Boots,2,1
Boots,3,1
Boots,4,1
Camelback,1,2
Camelback,2,1
Cammie Paint,4,1
Canteen Cup,4,4
Covered Canteens,2,7
Covered Canteens,3,0
Dog Tags,4,4
Dump Pouch,4,4
Eye Protection,3,4
First Aid Kit,3,4
Glove Shells,1,1
Glove Shells,2,1
Glove Shells,3,1
Glove Shells,4,1
Gloves,1,1
Gloves,2,1
Gloves,3,1
Gloves,4,1
Helmet with Cover,1,1
Helmet with Cover,2,1
Helmet with Cover,3,1
Helmet with Cover,4,1
Hip Belt,1,1
Hip Belt,2,1
Hip Belt,3,1
Hip Belt,4,1
ID Card,1,4
Individual Purifier,4,4
Map Pens,1,4
MREs,4,8
Neck Gaiter,1,1
Neck Gaiter,2,1
Neck Gaiter,3,1
Neck Gaiter,4,1
Note Taking Gear,4,4
NVG PVS 14,4,4
Protractor,4,4
Pullover Fleece,1,1
Pullover Fleece,2,1
Pullover Fleece,3,0
Pullover Fleece,4,1
Pyro Set,3,2
Skivvy Shirt,1,1
Skivvy Shirt,2,1
Skivvy Shirt,3,1
Skivvy Shirt,4,1
SL3 Complete,3,4
Socks,1,1
Socks,2,1
Socks,3,1
Socks,4,1
Underwear,1,1
Underwear,2,1
Underwear,3,1
Underwear,4,1
