Item,Marine,Quantity
2 Grenade Pouches,3,3
2 Grenade Pouches,4,3
3 Magazine Pouches,2,18
Batteries PRC-152,2,1
Camelback,1,2
Camelback,2,1
Canteen Cup,3,3
Covered Canteens,2,6
Dog Tags,4,3
Dump Pouch,2,3
E-tool with Carrier,4,3
Eye Protection,2,3
First Aid Kit,3,1
First Aid Kit,4,3
ID Card,4,3
Individual Purifier,2,3
Map Pens,4,3
MREs,1,1
MREs,2,2
MREs,4,3
Note Taking Gear,4,3
NVG PVS 14,1,3
Protractor,4,3
Pyro Set,4,1
Rifle with Sling,1,1
Rifle with Sling,3,2
SL3 Complete,3,1
SL3 Complete,4,2
