Item,Marine,Quantity
2 Grenade Pouches,2,4
3 Magazine Pouches,2,12
Camelback,1,2
Canteen Cup,3,2
Covered Canteens,2,1
Covered Canteens,4,3
Dog Tags,3,2
Dump Pouch,1,2
E-tool with Carrier,1,2
Eye Protection,2,2
First Aid Kit,3,4
ID Card,3,2
Individual Purifier,3,2
Map Pens,1,2
MREs,4,4
Note Taking Gear,3,2
NVG PVS 14,1,2
Protractor,4,2
Pyro Set,2,1
Rifle with Sling,4,2
SL3 Complete,4,2
Sleeping Bag,2,2
