Item,Marine,Quantity
2 Grenade Pouches,2,3
2 Grenade Pouches,4,4
Batteries PRC-152,2,1
Binoculars,4,1
Boonie Cover,1,1
Boonie Cover,2,1
Boonie Cover,3,1
Boonie Cover,4,1
Boots,1,1
Boots,2,1
Boots,3,1
Boots,4,1
Camelback,1,1
Camelback,3,2
Cammie Paint,4,1
Canteen Cup,4,4
Covered Canteens,1,8
Dog Tags,1,4
Dump Pouch,4,4
Eye Protection,4,4
First Aid Kit,2,3
First Aid Kit,3,0
Gloves,1,1
Gloves,2,1
Gloves,3,1
Gloves,4,1
Helmet with Cover,1,1
Helmet with Cover,2,1
Helmet with Cover,3,1
Helmet with Cover,4,1
Hip Belt,1,1
Hip Belt,2,1
Hip Belt,3,1
Hip Belt,4,1
ID Card,3,4
Individual Purifier,1,4
Map Pens,1,4
MREs,4,8
Note Taking Gear,2,4
NVG PVS 14,4,4
Poncho Liner,1,1
Poncho Liner,2,1
Poncho Liner,3,0
Poncho Liner,4,1
Protractor,2,4
Pyro Set,4,2
Skivvy Shirt,1,1
Skivvy Shirt,2,1
Skivvy Shirt,3,1
Skivvy Shirt,4,1
Socks,1,1
Socks,2,1
Socks,3,1
Socks,4,1
Underwear,1,1
Underwear,2,1
Underwear,3,1
Underwear,4,1
