Item,Marine,Quantity
2 Grenade Pouches,2,4
3 Magazine Pouches,2,12
Camelback,1,1
Camelback,9,1
Canteen Cup,3,2
Covered Canteens,8,4
Dog Tags,5,2
Dump Pouch,5,2
E-tool with Carrier,4,2
Eye Protection,12,2
First Aid Kit,7,2
First Aid Kit,12,2
ID Card,11,2
Individual Purifier,3,2
Map Pens,9,2
MREs,3,4
Note Taking Gear,6,2
NVG PVS 14,4,2
Protractor,8,2
Pyro Set,7,1
Sleeping Bag,6,1
Sleeping Bag,10,1
