Item,Marine,Quantity
2 Grenade Pouches,4,5
2 Grenade Pouches,9,1
3 Magazine Pouches,1,1
3 Magazine Pouches,2,1
3 Magazine Pouches,3,3
3 Magazine Pouches,5,7
3 Magazine Pouches,7,1
3 Magazine Pouches,8,1
3 Magazine Pouches,11,1
Batteries PRC-152,3,1
Camelback,4,1
Camelback,8,1
Camelback,12,1
Canteen Cup,9,1
Canteen Cup,10,1
Canteen Cup,11,1
Covered Canteens,3,1
Covered Canteens,5,1
Covered Canteens,9,3
Covered Canteens,12,1
Dog Tags,6,1
Dog Tags,7,1
Dog Tags,10,1
Dump Pouch,8,2
Dump Pouch,10,1
E-tool with Carrier,1,1
E-tool with Carrier,3,2
Eye Protection,2,1
Eye Protection,4,2
First Aid Kit,2,2
First Aid Kit,5,1
First Aid Kit,9,1
First Aid Kit,11,2
ID Card,1,1
ID Card,7,2
Individual Purifier,1,2
Individual Purifier,12,1
Map Pens,11,3
MREs,1,4
MREs,8,2
Note Taking Gear,7,3
NVG PVS 14,1,1
NVG PVS 14,9,1
NVG PVS 14,12,1
Protractor,1,1
Protractor,7,2
Pyro Set,6,1
SL3 Complete,2,1
SL3 Complete,5,1
SL3 Complete,12,1
Sleeping Bag,6,1
Sleeping Bag,7,1
Sleeping Bag,10,1
