Item,Marine,Quantity
2 Grenade Pouches,7,6
3 Magazine Pouches,4,2
3 Magazine Pouches,7,10
3 Magazine Pouches,8,6
Batteries PRC-152,2,1
Camelback,4,2
Camelback,6,1
Canteen Cup,5,3
Covered Canteens,2,2
Covered Canteens,5,1
Covered Canteens,6,3
Dog Tags,1,3
Dump Pouch,1,3
E-tool with Carrier,1,2
E-tool with Carrier,3,1
Eye Protection,1,2
Eye Protection,8,1
First Aid Kit,2,2
First Aid Kit,6,1
First Aid Kit,7,1
ID Card,2,3
Individual Purifier,1,3
Map Pens,4,3
MREs,1,2
MREs,2,3
MREs,7,1
Note Taking Gear,1,2
Note Taking Gear,4,1
NVG PVS 14,1,2
NVG PVS 14,5,1
Protractor,3,1
Protractor,8,2
Pyro Set,2,1
Rifle with Sling,3,1
Rifle with Sling,5,1
Rifle with Sling,8,1
SL3 Complete,2,1
SL3 Complete,3,1
SL3 Complete,7,1
