Item,Marine,Quantity
2 Grenade Pouches,2,8
3 Magazine Pouches,2,9
3 Magazine Pouches,8,12
3 Magazine Pouches,10,1
3 Magazine Pouches,11,0
Batteries PRC-152,5,1
Binoculars,8,1
Camelback,1,1
Camelback,3,1
Camelback,6,0
Camelback,11,1
Cammie Paint,8,1
Canteen Cup,10,4
Covered Canteens,5,7
Covered Canteens,8,0
Dog Tags,5,4
Dump Pouch,11,4
E-tool with Carrier,4,1
E-tool with Carrier,10,2
Eye Protection,11,4
First Aid Kit,1,0
First Aid Kit,7,2
First Aid Kit,9,2
First Aid Kit,12,2
ID Card,11,4
Individual Purifier,3,4
Map Pens,9,4
MREs,6,8
Note Taking Gear,6,4
NVG PVS 14,4,4
Protractor,9,4
Pyro Set,5,2
SL3 Complete,11,4
