Item,Marine,Quantity
2 Grenade Pouches,2,6
3 Magazine Pouches,2,17
3 Magazine Pouches,4,1
Batteries PRC-152,2,1
Camelback,1,3
Canteen Cup,1,3
Covered Canteens,2,6
Dog Tags,2,3
Dump Pouch,1,1
Dump Pouch,4,2
E-tool with Carrier,1,1
E-tool with Carrier,2,2
Eye Protection,2,3
First Aid Kit,3,6
ID Card,3,3
Individual Purifier,1,1
Individual Purifier,3,2
Map Pens,1,3
MREs,4,6
Note Taking Gear,3,3
NVG PVS 14,1,3
Protractor,4,3
Pyro Set,2,1
Rifle with Sling,4,2
