Item,Marine,Quantity
2 Grenade Pouches,4,8
3 Magazine Pouches,2,4
3 Magazine Pouches,7,19
Batteries PRC-152,2,1
Binoculars,4,1
Camelback,2,0
Camelback,3,1
Camelback,6,2
Cammie Paint,4,1
Canteen Cup,7,4
Covered Canteens,8,8
Dog Tags,2,4
Dump Pouch,7,4
E-tool with Carrier,3,1
E-tool with Carrier,5,2
Eye Protection,4,4
First Aid Kit,1,3
First Aid Kit,4,1
First Aid Kit,7,0
First Aid Kit,8,1
ID Card,4,4
Individual Purifier,5,4
Map Pens,7,4
MREs,2,8
Note Taking Gear,7,4
NVG PVS 14,5,4
Protractor,4,4
Pyro Set,4,2
