Item,Marine,Quantity
2 Grenade Pouches,2,4
3 Magazine Pouches,2,12
Camelback,4,1
Camelback,5,1
Canteen Cup,10,2
Covered Canteens,8,4
Dog Tags,5,2
Dump Pouch,5,2
E-tool with Carrier,10,2
Eye Protection,12,2
First Aid Kit,1,2
First Aid Kit,7,2
ID Card,11,2
Individual Purifier,3,1
Individual Purifier,4,1
Map Pens,9,2
MREs,6,4
Note Taking Gear,10,2
NVG PVS 14,10,2
Protractor,8,2
Pyro Set,7,1
SL3 Complete,6,2
Sleeping Bag,3,1
Sleeping Bag,9,1
