Item,Marine,Quantity
2 Grenade Pouches,2,4
3 Magazine Pouches,2,12
Camelback,2,2
Canteen Cup,2,2
Covered Canteens,4,4
Dog Tags,3,2
Dump Pouch,3,2
E-tool with Carrier,1,2
Eye Protection,4,2
First Aid Kit,2,1
First Aid Kit,3,3
ID Card,3,2
Individual Purifier,3,2
Map Pens,1,2
MREs,1,4
Note Taking Gear,3,2
NVG PVS 14,1,2
Protractor,4,2
Pyro Set,2,1
Rifle with Sling,4,2
Sleeping Bag,1,1
Sleeping Bag,3,1
