Item,Marine,Quantity
2 Grenade Pouches,1,6
3 Magazine Pouches,2,1
3 Magazine Pouches,3,9
3 Magazine Pouches,10,7
3 Magazine Pouches,11,1
Batteries PRC-152,8,1
Camelback,5,1
Camelback,6,1
Camelback,8,1
Canteen Cup,1,2
Canteen Cup,6,1
Covered Canteens,3,4
Covered Canteens,5,2
Dog Tags,4,3
Dump Pouch,5,2
Dump Pouch,7,1
E-tool with Carrier,4,2
E-tool with Carrier,10,1
Eye Protection,12,3
First Aid Kit,1,1
First Aid Kit,7,2
First Aid Kit,9,2
ID Card,7,3
Individual Purifier,8,3
Map Pens,6,3
MREs,4,3
MREs,6,3
Note Taking Gear,8,3
NVG PVS 14,1,1
NVG PVS 14,10,2
Protractor,6,3
Pyro Set,9,1
Sleeping Bag,2,1
Sleeping Bag,11,1
Sleeping Bag,12,1
